uuid,id,publish_dt
60840b9a-fd7b-56dd-9f9c-10fbbcebddff,269203,2018-02-06
60840b9a-fd7b-56dd-9f9c-10fbbcebddff,269808,2018-02-19
976e7e54-ac9f-5a34-9bef-f3bac4f55f34,12522,2017-05-16
976e7e54-ac9f-5a34-9bef-f3bac4f55f34,271337,2018-03-20
976e7e54-ac9f-5a34-9bef-f3bac4f55f34,271828,2018-03-26
976e7e54-ac9f-5a34-9bef-f3bac4f55f34,272160,2018-04-02
976e7e54-ac9f-5a34-9bef-f3bac4f55f34,272681,2018-04-16
976e7e54-ac9f-5a34-9bef-f3bac4f55f34,273764,2018-05-07
976e7e54-ac9f-5a34-9bef-f3bac4f55f34,274488,2018-05-21
a5fff7ec-089f-5c29-898a-5e55c415fc88,1027,2017-12-20
a5fff7ec-089f-5c29-898a-5e55c415fc88,269137,2018-02-07
b3ee844c-5677-5d64-aba1-2208c34e32ec,14388,2017-04-13
b3ee844c-5677-5d64-aba1-2208c34e32ec,269530,2018-02-15
b9144a95-88d4-5b7a-9f0a-65ebb78b3b3e,42,2017-12-12
b9144a95-88d4-5b7a-9f0a-65ebb78b3b3e,1389,2017-12-13
c3e0df36-66b9-5106-94b7-0d2e2d78c9d3,270725,2018-03-07
c3e0df36-66b9-5106-94b7-0d2e2d78c9d3,271070,2018-03-14
c80dde44-8e33-5675-9f2f-cbabb9676529,269987,2018-02-20
c80dde44-8e33-5675-9f2f-cbabb9676529,270389,2018-03-01
d5f4eaf8-3e83-11e8-95c9-73ed6ee729ca,272526,2018-04-12
d5f4eaf8-3e83-11e8-95c9-73ed6ee729ca,272962,2018-04-20
d82653bc-2799-11e8-84e3-a352657e76c8,271072,2018-03-14
d82653bc-2799-11e8-84e3-a352657e76c8,271468,2018-03-21
e465496e-3e62-11e8-86c6-a38033aeb858,272382,2018-04-12
e465496e-3e62-11e8-86c6-a38033aeb858,272985,2018-04-23
e5decfb4-1cc5-52f8-ac1e-332257d8b7a0,267,2018-01-08
e5decfb4-1cc5-52f8-ac1e-332257d8b7a0,268681,2018-01-24
e5decfb4-1cc5-52f8-ac1e-332257d8b7a0,272157,2018-04-05
e5decfb4-1cc5-52f8-ac1e-332257d8b7a0,272730,2018-04-17
e5decfb4-1cc5-52f8-ac1e-332257d8b7a0,274844,2018-05-30
ea904442-40a1-5c71-8b73-07054ef6aef9,268752,2018-01-29
ea904442-40a1-5c71-8b73-07054ef6aef9,269204,2018-02-04
edcb33bc-47e8-5149-9cb5-ad6edc258607,3321,2017-11-07
edcb33bc-47e8-5149-9cb5-ad6edc258607,274130,2018-05-14
f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9,12533,2017-05-16
f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9,271336,2018-03-20
f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9,271829,2018-03-26
f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9,272161,2018-04-02
f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9,272684,2018-04-16
f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9,273759,2018-05-07
f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9,274492,2018-05-21
f723ce13-b4de-5b29-9ea1-f439959df952,152,2018-01-10
f723ce13-b4de-5b29-9ea1-f439959df952,268833,2018-01-31
f723ce13-b4de-5b29-9ea1-f439959df952,269205,2018-02-07
f8d66127-6483-53b5-9e15-607ad5e0c21e,38,2017-12-12
f8d66127-6483-53b5-9e15-607ad5e0c21e,220,2018-01-09
f8d66127-6483-53b5-9e15-607ad5e0c21e,268718,2018-01-30
f8d66127-6483-53b5-9e15-607ad5e0c21e,269202,2018-02-06
f8d66127-6483-53b5-9e15-607ad5e0c21e,269908,2018-02-20
fa8c30e6-b8e4-5009-b6c3-a15a3ccc3ec7,12183,2017-05-22
fa8c30e6-b8e4-5009-b6c3-a15a3ccc3ec7,271168,2018-03-19
fa8c30e6-b8e4-5009-b6c3-a15a3ccc3ec7,271830,2018-03-26
